Campaign,Ad Group,Ad Group Status,Keyword,Match type,Status,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Description 1,Description 2,Description 3,Description 4
OT_US_Search_Featured_7D_50,HUS81147,Enabled,,,,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,HUS81148,Enabled,,,,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,CCIN9010F,Enabled,,,,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,CCIN8010F,Enabled,,,,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,CCIIMP103X,Enabled,,,,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,A1360828HD,Enabled,,,,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,B5224066464,Enabled,,,,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,HUS81147,,husky 81147,Exact,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,HUS81147,,husky 81147,Phrase,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,HUS81147,,husky towing 81147,Phrase,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,HUS81147,,81147 bike rack,Phrase,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,HUS81148,,husky 81148,Exact,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,HUS81148,,husky 81148,Phrase,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,HUS81148,,husky towing 81148,Phrase,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,HUS81148,,81148 cargo carrier,Phrase,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,CCIN9010F,,coast2coast iwcn9010f,Exact,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,CCIN9010F,,coast2coast iwcn9010f,Phrase,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,CCIN9010F,,iwcn9010f,Phrase,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,CCIN9010F,,ram 3500 iwcn9010f,Phrase,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,CCIN8010F,,coast2coast iwcn8010f,Exact,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,CCIN8010F,,coast2coast iwcn8010f,Phrase,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,CCIN8010F,,iwcn8010f,Phrase,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,CCIN8010F,,ram 3500 iwcn8010f,Phrase,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,CCIIMP103X,,coast2coast iwcimp103x,Exact,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,CCIIMP103X,,coast2coast iwcimp103x,Phrase,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,CCIIMP103X,,iwcimp103x,Phrase,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,CCIIMP103X,,tundra iwcimp103x,Phrase,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,A1360828HD,,air lift 60828hd,Exact,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,A1360828HD,,air lift 60828hd,Phrase,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,A1360828HD,,60828hd,Phrase,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,A1360828HD,,ram 1500 60828hd,Phrase,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,B5224066464,,bilstein 24-066464,Exact,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,B5224066464,,bilstein 24-066464,Phrase,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,B5224066464,,24-066464,Phrase,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,B5224066464,,bilstein 5100 24-066464,Phrase,Enabled,,,,,,,,,,,,,,,,,
OT_US_Search_Featured_7D_50,HUS81147,,,,Enabled,https://omni-terrain.com/us-husky-towing-81147.html,auto-parts,81147,Husky 81147 Bike Rack,Shop Husky 81147,Hitch-Mounted 4 Bike Rack,Husky Towing 81147,Featured Online Offer,Free Contiguous US Shipping,Secure Online Checkout,Clear Online Pricing,Omni Terrain US Store,Check Fitment Before Order,Shop Husky Towing 81147 with clear online pricing and secure checkout at Omni Terrain.,Free standard shipping in the contiguous U.S. Review item details before ordering.,Hitch-mounted 4-bike rack. Check specifications and fitment before ordering.,Need fitment help? Contact Omni Terrain before you order.
