Asset type,Campaign,Text,Final URL,Description line 1,Description line 2,Header,Values
Sitelink,US | Search | Featured Auto | MPN Intent,Featured Offers,https://omni-terrain.com/deals.html,Shop current featured products,Clear pricing and offer details,,
Sitelink,US | Search | Featured Auto | MPN Intent,Shop Auto Parts,https://omni-terrain.com/automotive.html,Browse verified auto inventory,"Search by brand, product or MPN",,
Sitelink,US | Search | Featured Auto | MPN Intent,Marine Parts,https://omni-terrain.com/marine.html,Browse verified marine inventory,Current online availability first,,
Sitelink,US | Search | Featured Auto | MPN Intent,Order & Fitment Help,https://omni-terrain.com/contact-and-order-help.html,Need help before ordering?,Ask about product application,,
Sitelink,US | Search | Featured Auto | MPN Intent,Shipping & Delivery,https://omni-terrain.com/shipping-delivery-policy.html,Review U.S. shipping details,Know delivery terms before order,,
Sitelink,US | Search | Featured Auto | MPN Intent,Returns & Refunds,https://omni-terrain.com/returns-refunds-policy.html,Review return terms,Check eligibility before ordering,,
Callout,US | Search | Featured Auto | MPN Intent,Clear Online Pricing,,,,,
Callout,US | Search | Featured Auto | MPN Intent,Secure U.S. Checkout,,,,,
Callout,US | Search | Featured Auto | MPN Intent,Search by MPN,,,,,
Callout,US | Search | Featured Auto | MPN Intent,Product & Fitment Support,,,,,
Callout,US | Search | Featured Auto | MPN Intent,Free Featured Shipping,,,,,
Callout,US | Search | Featured Auto | MPN Intent,Verified Online Inventory,,,,,
Structured snippet,US | Search | Featured Auto | MPN Intent,,,,,Brands,"HUSKY Towing; Coast2Coast; Air Lift; Bilstein"
