Campaign,Ad group,Keyword,Match type,Final URL,Status
US | Search | Featured Auto | MPN Intent,HUSKY 81147 Bike Rack,husky 81147,Exact,https://omni-terrain.com/us-husky-towing-81147.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=hus81147,Paused
US | Search | Featured Auto | MPN Intent,HUSKY 81147 Bike Rack,husky 81147,Phrase,https://omni-terrain.com/us-husky-towing-81147.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=hus81147,Paused
US | Search | Featured Auto | MPN Intent,HUSKY 81147 Bike Rack,husky towing 81147,Exact,https://omni-terrain.com/us-husky-towing-81147.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=hus81147,Paused
US | Search | Featured Auto | MPN Intent,HUSKY 81147 Bike Rack,81147 bike rack,Phrase,https://omni-terrain.com/us-husky-towing-81147.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=hus81147,Paused
US | Search | Featured Auto | MPN Intent,HUSKY 81147 Bike Rack,husky 4 bike rack 81147,Phrase,https://omni-terrain.com/us-husky-towing-81147.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=hus81147,Paused
US | Search | Featured Auto | MPN Intent,HUSKY 81148 Cargo Carrier,husky 81148,Exact,https://omni-terrain.com/us-husky-towing-81148.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=hus81148,Paused
US | Search | Featured Auto | MPN Intent,HUSKY 81148 Cargo Carrier,husky 81148,Phrase,https://omni-terrain.com/us-husky-towing-81148.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=hus81148,Paused
US | Search | Featured Auto | MPN Intent,HUSKY 81148 Cargo Carrier,husky towing 81148,Exact,https://omni-terrain.com/us-husky-towing-81148.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=hus81148,Paused
US | Search | Featured Auto | MPN Intent,HUSKY 81148 Cargo Carrier,81148 cargo carrier,Phrase,https://omni-terrain.com/us-husky-towing-81148.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=hus81148,Paused
US | Search | Featured Auto | MPN Intent,HUSKY 81148 Cargo Carrier,husky cargo carrier 81148,Phrase,https://omni-terrain.com/us-husky-towing-81148.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=hus81148,Paused
US | Search | Featured Auto | MPN Intent,Coast2Coast IWCN9010F,iwcn9010f,Exact,https://omni-terrain.com/us-coast2coast-iwcn9010f.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=ccin9010f,Paused
US | Search | Featured Auto | MPN Intent,Coast2Coast IWCN9010F,iwcn9010f,Phrase,https://omni-terrain.com/us-coast2coast-iwcn9010f.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=ccin9010f,Paused
US | Search | Featured Auto | MPN Intent,Coast2Coast IWCN9010F,coast2coast iwcn9010f,Exact,https://omni-terrain.com/us-coast2coast-iwcn9010f.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=ccin9010f,Paused
